iter	Logloss
0	0.6909321996
1	0.6887476247
2	0.6866968795
3	0.6845843984
4	0.6826106392
5	0.6807925349
6	0.6790502645
7	0.6774268788
8	0.6758011428
9	0.6742132498
10	0.672728585
11	0.6713102019
12	0.6699122708
13	0.6686100184
14	0.6674070301
15	0.6660972343
16	0.6648829169
17	0.6638017257
18	0.6627962218
19	0.6617339503
20	0.6608136111
21	0.6600399784
22	0.6591322862
23	0.6581229669
24	0.6573029883
25	0.6564473571
26	0.6556803161
27	0.6548512081
28	0.6540860414
29	0.6534265526
30	0.6526772662
31	0.6519999621
32	0.6513316412
33	0.6506475711
34	0.6502291523
35	0.6497107166
36	0.6490533934
37	0.648398878
38	0.6477410925
39	0.6472958541
40	0.6466350746
41	0.6460957013
42	0.6455408633
43	0.6450070963
44	0.6446630039
45	0.6441758201
46	0.6438830574
47	0.6435586715
48	0.6431588038
49	0.6426440054
50	0.6423559144
51	0.6419825107
52	0.6416301995
53	0.6411477543
54	0.6406691842
55	0.6402951188
56	0.6399549975
57	0.6394285931
58	0.6390629134
59	0.6386151708
60	0.6383214568
61	0.6379316423
62	0.637590961
63	0.6371576679
64	0.636861656
65	0.6366647491
66	0.6364433809
67	0.6360979463
68	0.6357935422
69	0.6354709077
70	0.6352049038
71	0.6349457045
72	0.634706968
73	0.6343755452
74	0.6340022621
75	0.6337317364
76	0.6334012751
77	0.6331457639
78	0.6329114645
79	0.6325471382
80	0.6322430298
81	0.6321549064
82	0.6318047596
83	0.6315102012
84	0.6310741252
85	0.6308426477
86	0.630586199
87	0.6304416236
88	0.6302063844
89	0.6300711049
90	0.6298058735
91	0.6295403427
92	0.6294781892
93	0.6292685331
94	0.6290011549
95	0.6288252565
96	0.6285320067
97	0.6281851712
98	0.6279233286
99	0.6277035633
100	0.6274733598
101	0.6272135834
102	0.6269191727
103	0.6266100365
104	0.6263102103
105	0.6261249571
106	0.6259328412
107	0.6257601057
108	0.6254673296
109	0.625197626
110	0.6249493837
111	0.6247600795
112	0.6244610157
113	0.6242680044
114	0.6240507544
115	0.6237352229
116	0.6235587814
117	0.623321928
118	0.6231223188
119	0.6228293672
120	0.6226529513
121	0.6224067325
122	0.6221264569
123	0.6220375864
124	0.6216998223
125	0.621472951
126	0.6212647954
127	0.6210090242
128	0.6207016533
129	0.6204455493
130	0.6201831196
131	0.6199418634
132	0.6197644458
133	0.6195295904
134	0.6193410208
135	0.6191311372
136	0.6189082069
137	0.6186297781
138	0.6184522727
139	0.6182098781
140	0.6179944207
141	0.6176824736
142	0.6174119221
143	0.6172446984
144	0.6170982165
145	0.616888422
146	0.6167148272
147	0.6165761061
148	0.6163741984
149	0.6162034252
150	0.6160070973
151	0.6157763768
152	0.6155589501
153	0.6153772006
154	0.6151169304
155	0.6148395674
156	0.6146123653
157	0.6144104129
158	0.6141512924
159	0.6138234991
160	0.6136476575
161	0.6134811806
162	0.6132225759
163	0.6130063929
164	0.6127340166
165	0.6125332268
166	0.6122446086
167	0.6120325574
168	0.6117921998
169	0.6115691041
170	0.6113530754
171	0.6111431583
172	0.6109263631
173	0.6107615998
174	0.6105572916
175	0.6103741273
176	0.610170018
177	0.6098394879
178	0.6096968617
179	0.6094609681
180	0.6092200231
181	0.6089893334
182	0.6087326786
183	0.6084282517
184	0.6081723703
185	0.6080159377
186	0.6077066923
187	0.6074134163
188	0.607258223
189	0.6069324268
190	0.6066930446
191	0.606492331
192	0.606294599
193	0.6061055705
194	0.6059445492
195	0.6057387358
196	0.6055272578
197	0.6054160302
198	0.6051652989
199	0.6050121118
200	0.6048313865
201	0.6047447232
202	0.6045069212
203	0.6042598852
204	0.6040615244
205	0.6039037539
206	0.6036969105
207	0.6035350617
208	0.6033439838
209	0.603219554
210	0.6030291922
211	0.6027574651
212	0.6025156313
213	0.6022695497
214	0.6020523322
215	0.6018349269
216	0.6016598026
217	0.6013608625
218	0.6012002184
219	0.6011781691
220	0.6010612862
221	0.6008379036
222	0.6005997194
223	0.6003833047
224	0.6002366474
225	0.5999744087
226	0.5997603529
227	0.5994770015
228	0.5992702002
229	0.599128306
230	0.59891376
231	0.5986770788
232	0.5986195762
233	0.5983687291
234	0.5981624902
235	0.5979897292
236	0.5977869603
237	0.5975950068
238	0.5972542993
239	0.5970505298
240	0.5967848679
241	0.5966331406
242	0.5964531963
243	0.5962193248
244	0.5960309601
245	0.5957740442
246	0.5954839484
247	0.595338703
248	0.5951404405
249	0.5949787637
250	0.594835228
251	0.5946241054
252	0.5945114813
253	0.5943044295
254	0.5941151358
255	0.5938956667
256	0.5936215935
257	0.5935413003
258	0.5933953513
259	0.5931824311
260	0.5928951981
261	0.5926341482
262	0.5924632768
263	0.5922754435
264	0.5920798168
265	0.5918781187
266	0.5917464924
267	0.5914751339
268	0.5912578623
269	0.5910125937
270	0.5908263847
271	0.5905742511
272	0.5902235543
273	0.590063103
274	0.5899360226
275	0.5897595786
276	0.5895710825
277	0.5894072834
278	0.5892438149
279	0.5890910515
280	0.5888577745
281	0.5885966359
282	0.5884082815
283	0.5882414847
284	0.5880637321
285	0.5878115864
286	0.587647391
287	0.5874156629
288	0.5872013518
289	0.5870198284
290	0.5868055491
291	0.5866097583
292	0.5864838534
293	0.5862586223
294	0.5860870541
295	0.5859334147
296	0.5856411966
297	0.5854366806
298	0.5853305492
299	0.5850548707
300	0.5848830244
301	0.5847061798
302	0.5844742438
303	0.5842058076
304	0.5840229703
305	0.5838360752
306	0.5836384367
307	0.5833638347
308	0.5830940059
309	0.582791647
310	0.5825522955
311	0.5824581992
312	0.5822350172
313	0.5820751282
314	0.5818155258
315	0.5816707187
316	0.5814959745
317	0.5812764244
318	0.5810429568
319	0.5809086382
320	0.5807653869
321	0.5805715738
322	0.580437636
323	0.5802478057
324	0.5799756496
325	0.5797819765
326	0.5796010237
327	0.5795134909
328	0.5792010383
329	0.5790026715
330	0.5787443305
331	0.5785511434
332	0.5783900761
333	0.5782316688
334	0.5780127695
