iter	Passed	Remaining
0	5	5666
1	10	5479
2	17	5680
3	22	5538
4	27	5413
5	32	5342
6	37	5298
7	42	5257
8	47	5227
9	53	5314
10	59	5320
11	63	5264
12	67	5145
13	73	5149
14	78	5173
15	84	5172
16	89	5166
17	93	5122
18	98	5082
19	103	5073
20	108	5051
21	113	5044
22	118	5034
23	122	4998
24	126	4946
25	131	4942
26	136	4917
27	141	4916
28	146	4908
29	151	4904
30	157	4909
31	162	4901
32	167	4906
33	172	4891
34	174	4815
35	179	4800
36	183	4787
37	188	4776
38	193	4768
39	198	4760
40	203	4753
41	208	4745
42	212	4734
43	217	4731
44	222	4714
45	226	4704
46	231	4697
47	237	4700
48	241	4692
49	246	4685
50	251	4677
51	256	4668
52	260	4662
53	265	4658
54	270	4653
55	275	4643
56	280	4637
57	285	4630
58	290	4637
59	296	4637
60	300	4631
61	305	4623
62	310	4620
63	315	4615
64	320	4608
65	325	4604
66	330	4602
67	335	4597
68	340	4593
69	345	4588
70	350	4581
71	355	4579
72	360	4574
73	365	4567
74	370	4565
75	374	4553
76	378	4537
77	383	4529
78	387	4516
79	392	4510
80	396	4504
81	402	4500
82	407	4497
83	411	4486
84	416	4479
85	421	4474
86	425	4470
87	430	4465
88	436	4463
89	440	4449
90	444	4444
91	449	4437
92	454	4430
93	459	4426
94	464	4421
95	470	4429
96	475	4423
97	481	4435
98	487	4432
99	491	4427
100	496	4415
101	499	4399
102	504	4393
103	509	4391
104	513	4381
105	519	4381
106	528	4408
107	533	4408
108	538	4403
109	543	4394
110	547	4388
111	552	4382
112	557	4378
113	562	4368
114	566	4361
115	571	4354
116	576	4352
117	581	4344
118	586	4338
119	591	4336
120	602	4378
121	608	4375
122	612	4370
123	617	4365
124	622	4359
125	627	4353
126	632	4349
127	637	4344
128	642	4337
129	647	4332
130	652	4326
131	656	4319
132	661	4314
133	666	4308
134	671	4303
135	676	4300
136	681	4293
137	686	4286
138	691	4281
139	695	4273
140	700	4266
141	704	4258
142	709	4253
143	714	4246
144	719	4240
145	724	4236
146	728	4228
147	733	4222
148	738	4215
149	743	4212
150	749	4211
151	754	4211
152	760	4210
153	766	4210
154	771	4206
155	777	4204
156	784	4214
157	790	4211
158	794	4204
159	799	4198
160	805	4195
161	810	4192
162	815	4189
163	820	4181
164	824	4174
165	830	4171
166	834	4164
167	839	4159
168	845	4155
169	850	4150
170	854	4142
171	859	4135
172	864	4132
173	868	4124
174	873	4119
175	878	4115
176	883	4110
177	888	4104
178	894	4100
179	899	4096
180	904	4092
181	909	4086
182	914	4081
183	919	4076
184	923	4066
185	927	4059
186	932	4054
187	937	4050
188	942	4045
189	948	4041
190	953	4039
191	959	4036
192	964	4033
193	969	4029
194	975	4025
195	980	4022
196	986	4020
197	991	4016
198	996	4012
199	1002	4009
200	1007	4005
201	1013	4002
202	1018	3999
203	1023	3995
204	1028	3989
205	1034	3985
206	1039	3982
207	1045	3981
208	1051	3979
209	1056	3975
210	1062	3973
211	1068	3970
212	1074	3968
213	1078	3962
214	1083	3956
215	1087	3948
216	1093	3944
217	1098	3941
218	1102	3933
219	1108	3930
220	1113	3926
221	1119	3922
222	1124	3919
223	1130	3915
224	1135	3911
225	1140	3906
226	1146	3902
227	1151	3897
228	1156	3893
229	1161	3888
230	1165	3880
231	1170	3874
232	1175	3871
233	1181	3867
234	1186	3863
235	1192	3859
236	1197	3855
237	1203	3852
238	1208	3847
239	1213	3843
240	1219	3839
241	1224	3835
242	1229	3830
243	1234	3825
244	1239	3820
245	1245	3816
246	1250	3812
247	1255	3808
248	1261	3803
249	1266	3799
250	1271	3794
251	1276	3788
252	1281	3784
253	1287	3780
254	1292	3776
255	1297	3771
256	1302	3766
257	1308	3762
258	1313	3758
259	1319	3755
260	1324	3751
261	1329	3745
262	1334	3740
263	1339	3734
264	1343	3727
265	1349	3723
266	1354	3719
267	1360	3716
268	1366	3713
269	1371	3709
270	1377	3705
271	1383	3702
272	1389	3699
273	1394	3695
274	1399	3690
275	1405	3686
276	1410	3682
277	1416	3679
278	1422	3675
279	1427	3670
280	1432	3665
281	1437	3661
282	1443	3656
283	1448	3652
284	1453	3647
285	1458	3642
286	1464	3638
287	1469	3633
288	1475	3630
289	1480	3625
290	1486	3621
291	1491	3616
292	1496	3611
293	1501	3606
294	1507	3602
295	1512	3597
296	1518	3593
297	1522	3587
298	1527	3580
299	1532	3574
300	1537	3570
301	1542	3565
302	1548	3561
303	1553	3557
304	1559	3553
305	1564	3548
306	1570	3544
307	1575	3540
308	1581	3536
309	1587	3532
310	1592	3527
311	1597	3523
312	1603	3519
313	1609	3515
314	1614	3511
315	1620	3507
316	1626	3503
317	1631	3498
318	1635	3491
319	1639	3484
320	1644	3479
321	1650	3474
322	1655	3469
323	1661	3465
324	1666	3461
325	1671	3456
326	1677	3452
327	1683	3448
328	1688	3444
329	1694	3439
330	1699	3434
331	1704	3429
332	1710	3425
333	1715	3420
334	1720	3415
335	1726	3411
336	1731	3406
337	1737	3402
338	1742	3398
339	1748	3394
340	1754	3389
341	1758	3384
342	1765	3380
343	1770	3375
344	1775	3370
345	1781	3367
346	1787	3363
347	1792	3358
348	1798	3354
349	1803	3349
350	1809	3345
351	1815	3342
352	1820	3336
353	1825	3331
354	1831	3326
355	1836	3322
356	1841	3317
357	1847	3312
358	1852	3307
359	1857	3302
360	1863	3298
361	1869	3294
362	1874	3288
363	1879	3284
364	1885	3280
365	1891	3275
366	1896	3270
367	1901	3266
368	1907	3261
369	1912	3256
370	1918	3252
371	1923	3247
372	1929	3243
373	1934	3238
374	1940	3234
375	1946	3230
376	1952	3225
377	1957	3221
378	1962	3216
379	1968	3211
380	1973	3206
381	1977	3199
382	1983	3194
383	1988	3190
384	1994	3185
385	1999	3180
386	2005	3176
387	2010	3171
388	2016	3167
389	2020	3160
390	2024	3153
391	2029	3148
392	2034	3142
393	2038	3135
394	2043	3129
395	2048	3124
396	2054	3120
397	2059	3115
398	2065	3111
399	2070	3106
400	2076	3101
401	2081	3096
402	2085	3090
403	2091	3085
404	2096	3080
405	2102	3075
406	2107	3070
407	2113	3066
408	2118	3061
409	2123	3056
410	2129	3051
411	2134	3046
412	2139	3041
413	2145	3036
414	2150	3031
415	2155	3026
416	2161	3021
417	2166	3016
418	2172	3012
419	2177	3007
420	2183	3002
421	2188	2998
422	2194	2993
423	2200	2988
424	2205	2983
425	2210	2978
426	2215	2973
427	2221	2968
428	2226	2963
429	2232	2959
430	2237	2953
431	2242	2948
432	2247	2943
433	2252	2938
434	2258	2933
435	2263	2927
436	2268	2922
437	2273	2916
438	2278	2911
439	2283	2906
440	2288	2901
441	2294	2896
442	2299	2891
443	2305	2886
444	2310	2881
445	2315	2876
446	2320	2871
447	2326	2866
448	2332	2862
449	2337	2857
450	2342	2851
451	2347	2846
452	2353	2841
453	2358	2836
454	2364	2831
455	2370	2827
456	2375	2822
457	2381	2818
458	2387	2813
459	2392	2808
460	2398	2803
461	2403	2799
462	2409	2794
463	2414	2789
464	2420	2784
465	2424	2778
466	2428	2772
467	2433	2766
468	2439	2761
469	2444	2756
470	2449	2751
471	2455	2746
472	2459	2740
473	2464	2734
474	2469	2729
475	2474	2724
476	2480	2719
477	2485	2714
478	2491	2709
479	2496	2704
480	2501	2699
481	2506	2694
482	2512	2689
483	2517	2684
484	2522	2678
485	2527	2673
486	2533	2668
487	2538	2663
488	2543	2658
489	2548	2652
490	2553	2647
491	2558	2642
492	2564	2637
493	2569	2632
494	2575	2627
495	2581	2622
496	2586	2618
497	2593	2613
498	2599	2609
499	2607	2607
500	2613	2603
501	2619	2598
502	2624	2593
503	2629	2588
504	2635	2583
505	2639	2576
506	2644	2571
507	2649	2565
508	2653	2559
